point_id,region,x,y,n_years,linear_slope,linear_intercept,linear_r_squared,linear_p_value,linear_std_err,linear_significant,mk_s,mk_z,mk_p_value,mk_tau,mk_trend,mk_significant
P001,urban,676610.8264357075,2950124.2549413512,9,0.028751414020856368,-57.59676463670231,0.45191051748499933,0.01628685478691816,0.011967672560164332,True,14,1.355343691370986,0.17530808080827365,0.3888888888888889,no_trend,False
P002,urban,707236.1088175003,2951025.09262782,9,0.005507740875085193,-10.59770994070503,0.03509885886161812,0.6138342086401538,0.010914890702507039,False,6,0.5212860351426869,0.6021675277481959,0.16666666666666666,no_trend,False
P003,urban,636594.771358835,2956733.458752731,9,2.6196738084205687e-05,0.3231040962867288,2.447723063458973e-06,0.9966972970614913,0.0063287293954896184,False,0,0.0,1.0,0.0,no_trend,False
P004,urban,635178.4565324171,2957068.351911491,9,-0.010947689289847093,22.552186863163907,0.0967218017081446,0.386618587083257,0.012645092721056054,False,-12,-1.1468292773139113,0.2514521865080219,-0.3333333333333333,no_trend,False
P005,urban,630758.611072018,2958349.7812199937,9,0.014919795220096519,-29.654724279335017,0.060846599237346255,0.5006674091833583,0.02215460212569084,False,6,0.5212860351426869,0.6021675277481959,0.16666666666666666,no_trend,False
P006,urban,716293.0111856968,2962347.1755261943,9,0.007303424365818412,-14.323591175364774,0.012213950461478329,0.7686035358042662,0.0248245213310043,False,-4,-0.3127716210856122,0.7544541774940892,-0.1111111111111111,no_trend,False
P007,urban,626557.4479108112,2966908.9667714047,9,-0.009217580904563299,18.983842153019438,0.08108594277019798,0.43190797732208086,0.011728233410783008,False,-6,-0.5212860351426869,0.6021675277481959,-0.16666666666666666,no_trend,False
P008,urban,721752.6687692222,2959677.030222389,9,0.006588236273576663,-12.873890201198662,0.0148909732033764,0.7449629026575051,0.020253531236717838,False,2,0.10425720702853739,0.9169652366288645,0.05555555555555555,no_trend,False
P009,suburban,723683.5063347834,2954856.819448309,9,0.01688974859813962,-33.63266431221759,0.08528393936353906,0.4191675509137929,0.0209066135275822,False,4,0.3127716210856122,0.7544541774940892,0.1111111111111111,no_trend,False
P010,suburban,723925.7756017251,2933779.261131986,9,0.008488805592060104,-16.675646977954475,0.04583109458963419,0.5620150166072169,0.014639629393764498,False,4,0.3127716210856122,0.7544541774940892,0.1111111111111111,no_trend,False
P011,suburban,615349.1393106898,2956316.7659358843,9,0.006403638795017967,-12.830001862222487,0.08765375438122303,0.41217242300146295,0.007808585867268594,False,10,0.9383148632568366,0.3480826236329242,0.2777777777777778,no_trend,False
P012,suburban,734638.4938604804,2945067.890125723,9,0.019900913784900918,-39.766439993264825,0.4193714643887807,0.024542221837349443,0.008850621087279827,True,16,1.563858105428061,0.11785089502136525,0.4444444444444444,no_trend,False
P013,suburban,735341.097974984,2934752.382675749,9,0.007716402038931143,-15.219941634517811,0.04143272147424404,0.5822787545278714,0.014028311368865608,False,4,0.3127716210856122,0.7544541774940892,0.1111111111111111,no_trend,False
P014,suburban,604208.4607819642,2976885.930335261,9,-0.007008515298367371,14.5408626389189,0.02340371575764766,0.6821174251488928,0.017111659588328016,False,2,0.10425720702853739,0.9169652366288645,0.05555555555555555,no_trend,False
P015,suburban,600627.1104736154,2954955.486689248,9,0.011428260772178806,-22.935357398674782,0.2656891975940796,0.11150585769801546,0.007180986852646016,False,18,1.7723725194851356,0.07633274037635718,0.5,no_trend,False
P016,suburban,745727.1523747488,2953315.312104318,9,-0.014054535274044603,28.775813282073212,0.05526600916604585,0.5222268926338542,0.021963077198710487,False,-8,-0.7298004491997617,0.46551216987418664,-0.2222222222222222,no_trend,False
P017,suburban,600163.6568572802,2970532.0751513387,9,0.006502958475418658,-12.80619172498009,0.01714781308402724,0.7267368599619983,0.01860808557083089,False,0,0.0,1.0,0.0,no_trend,False
P018,suburban,588499.3953754556,2981455.962092704,9,0.007511697212855949,-14.644862826004841,0.06160113535162837,0.4978509285785444,0.011081241817890565,False,4,0.3127716210856122,0.7544541774940892,0.1111111111111111,no_trend,False
P019,suburban,589820.7335777986,2987363.893926006,9,0.00888460189259347,-17.53119757996914,0.022747506546875074,0.6864649383751895,0.022010273881112503,False,4,0.3127716210856122,0.7544541774940892,0.1111111111111111,no_trend,False
P020,suburban,583444.9164817755,2965043.795676572,9,0.0005958701173468844,-0.7192383267822123,0.00016949553334688616,0.9725198479229851,0.01729763181201646,False,0,0.0,1.0,0.0,no_trend,False
