point_id,region,x,y,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
P001,urban,676610.8264357075,2950124.2549413512,-0.015428055077791214,0.0074310810305178165,0.2851583659648895,0.578607589006424,0.3563593775033951,0.25880284467712045,0.47370946407318115,0.6211155652999878,0.5780750215053558,0.6095229387283325,0.5588929951190948
P002,urban,707236.1088175003,2951025.0926278196,-0.0254663173109293,0.0016913260333240032,0.6191451549530029,0.44104626774787903,0.5488296747207642,0.19613468181341887,0.5700266659259796,0.5895028412342072,0.45523715019226074,0.5961410105228424,0.5840847194194794
P003,urban,636594.771358835,2956733.458752731,-0.012973025441169739,0.005987027194350958,0.3809587061405182,0.38500186800956726,0.4092357009649277,0.1552854625042528,0.4089302271604538,0.28683561086654663,0.4239364117383957,0.4046255052089691,0.36704079806804657
P004,urban,635178.4565324171,2957068.351911491,-0.011972140520811081,0.006954042706638575,0.34583333134651184,0.5476007163524628,0.5279679298400879,0.15081389457918704,0.5179555267095566,0.5019613206386566,0.4064922332763672,0.3276016041636467,0.35884159803390503
P005,urban,630758.611072018,2958349.7812199937,-0.011087610386312008,0.0013906719395890832,0.6178845167160034,0.4880208820104599,0.38931332528591156,0.0584469239693135,0.5742616951465607,0.6324551105499268,0.4570831060409546,0.6381337344646454,0.5669753849506378
P006,urban,716293.0111856968,2962347.1755261943,-0.017768146470189095,0.002218976616859436,0.5872995853424072,0.3598211705684662,0.5626992583274841,0.018917893190518953,0.3964732885360718,0.5706909894943237,0.3202798217535019,0.561767578125,0.5332691967487335
P007,urban,626557.4479108112,2966908.9667714047,-0.010187148116528988,0.007967953570187092,0.3463400602340698,0.45743629336357117,0.4406198561191559,0.13684196874964982,0.21774087473750114,0.4661475569009781,0.36903028190135956,0.35346782207489014,0.2732919901609421
P008,urban,721752.6687692222,2959677.030222389,-0.018849357962608337,0.004268354270607233,0.3519173264503479,0.5852044820785522,0.5415707230567932,0.08327064686454833,0.37269312143325806,0.5496595650911331,0.5176929533481598,0.30043267272412777,0.5809243619441986
P009,suburban,723683.5063347834,2954856.8194483086,-0.01598718762397766,0.0067925825715065,0.24622775614261627,0.6418973207473755,0.6008782684803009,0.13541721319779754,0.5898613631725311,0.6251805126667023,0.5153438448905945,0.4083606228232384,0.6261406242847443
P010,suburban,723925.7756017251,2933779.261131986,-0.012550003826618195,0.0010673801880329847,0.45738711953163147,0.38142989575862885,0.6223979890346527,0.24177582492120564,0.3607349172234535,0.3474362939596176,0.5812741816043854,0.62559574842453,0.45739930868148804
P011,suburban,615349.1393106898,2956316.7659358843,-0.00626740837469697,0.011449586600065231,0.07687971740961075,0.07867646589875221,0.08474770933389664,0.0964795807376504,0.07860324718058109,0.16297442093491554,0.10219390131533146,0.029508430510759354,0.20671197772026062
P012,suburban,734638.4938604804,2945067.890125723,-0.01754765957593918,-0.003624317701905966,0.4137144684791565,0.4460909813642502,0.4265750050544739,0.16811305074952543,0.36778436601161957,0.42668798565864563,0.5362249165773392,0.6040114164352417,0.5175670683383942
P013,suburban,735341.097974984,2934752.3826757492,-0.026922408491373062,-0.0018760624807327986,0.39683809876441956,0.3316107466816902,0.4753328561782837,0.11018693586811423,0.22931099869310856,0.44247880578041077,0.4880408048629761,0.30427807569503784,0.47414228320121765
P014,suburban,604208.4607819642,2976885.930335261,-0.011816585436463356,0.0016112320590764284,0.5103974938392639,0.5253448933362961,0.27177561819553375,0.10665123909711838,0.4312492161989212,0.3068483769893646,0.2795106768608093,0.3089056462049484,0.5407850742340088
P015,suburban,600627.1104736154,2954955.486689248,-0.00882614403963089,0.008251795545220375,0.09942907094955444,0.18884028494358063,0.14907557889819145,0.010629752185195684,0.21169251203536987,0.18958879262208939,0.17458296567201614,0.19075682759284973,0.21670226007699966
P016,suburban,745727.1523747488,2953315.312104318,-0.018859852105379105,0.0007875651936046779,0.4458952844142914,0.5032537877559662,0.5518407821655273,0.016836884897202253,0.334178164601326,0.28276920277858153,0.49911564588546753,0.4466654509305954,0.24268284440040588
P017,suburban,600163.6568572802,2970532.0751513387,-0.010846184566617012,0.010279190726578236,0.28473177552223206,0.39783623814582825,0.4315827935934067,-0.0017226173949893564,0.44324181973934174,0.39085714519023895,0.39849865436553955,0.3260003626346588,0.35475215315818787
P018,suburban,588499.3953754556,2981455.9620927037,-0.011483695358037949,0.0038919434882700443,0.41268685460090637,0.5923115611076355,0.6018736064434052,0.19615147332660854,0.5871681869029999,0.5940138697624207,0.5294429063796997,0.6128100752830505,0.49739786982536316
P019,suburban,589820.7335777986,2987363.893926006,-0.007937613874673843,0.009321434423327446,0.4115705192089081,0.4925810992717743,0.5206852555274963,-0.0004938573110848665,0.5244513750076294,0.4278825521469116,0.4829063415527344,0.5026313960552216,0.4510839283466339
P020,suburban,583444.9164817755,2965043.795676572,-0.014059148728847504,0.007371269166469574,0.40585091710090637,0.6044561564922333,0.6180537045001984,0.12766204270883463,0.38466209173202515,0.6108178198337555,0.5218695402145386,0.5438339114189148,0.4196331202983856
