region,n_points,n_years,ndvi_start,ndvi_end,ndvi_mean,linear_slope,linear_intercept,linear_r_squared,linear_p_value,linear_significant,mk_s,mk_z,mk_p_value,mk_tau,mk_trend,mk_significant
urban,8,9,,0.47791513055562973,0.4471362200824337,0.005366442162388375,-10.398443390104472,0.04126494582496565,0.5830765715520969,False,4,0.3127716210856122,0.7544541774940892,0.1111111111111111,no_trend,False
suburban,12,9,,0.41708320938050747,0.38444028994288393,0.006104987225585963,-11.953738892966348,0.05126379573056805,0.5385485976017437,False,6,0.5212860351426869,0.6021675277481959,0.16666666666666666,no_trend,False
